tau_cal_0,tau_cal_1,tau_cal_2,tau_cal_3,tau_est_0,tau_est_1,tau_est_2,tau_est_3,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_target_0,joint_pos_target_1,joint_pos_target_2,joint_pos_target_3,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3
0.772405,-0.027876,3.669523,-1.545562,0.473808,0.038975,2.282407,-0.458753,0.13015,0.017407,-0.020261,-0.027455,0.166435,-0.008011,0.11072,-0.065329,0.248785,-0.367332,-0.197499,0.299356
1.009201,0.260026,5.02613,-2.571171,0.118497,0.113819,3.92042,0.220793,0.133368,0.012389,-0.021782,-0.023321,0.179643,-0.01114,0.168762,-0.086438,0.305212,-0.482948,-0.131265,0.496623
1.041839,0.22329,6.316873,-2.859883,1.066475,-0.415268,6.552514,0.786478,0.136203,0.009141,-0.023304,-0.019188,0.18712,-0.014252,0.219183,-0.112903,0.370128,-0.46254,-0.127349,0.258504
1.185469,-0.0216999999999999,6.705911,-3.36863,0.88897,-0.605478,7.663199,0.748009,0.140169,0.004123,-0.02464,-0.017712,0.189446,-0.013379,0.237963,-0.149736,0.269613,-0.25168,-0.070418,0.034015
1.008962,0.1216,6.85586,-4.395537,1.304425,0.113566,8.014037,0.444827,0.144507,-0.000305,-0.024831,-0.017417,0.192699,-0.011217,0.249757,-0.19215,0.338879,-0.22448,0.00442,0.013606
0.32481,0.43556,6.970228,-5.729637,0.948955,-0.038154,8.072628,-0.123087,0.148277,-0.002076,-0.024639,-0.017122,0.184605,-0.008418,0.257695,-0.244675,0.473335,-0.31291,0.044061,0.020406
0.527307,-0.05986,7.379649,-6.587876,0.533944,-0.303273,7.838862,-0.728699,0.152611,-0.003552,-0.024257,-0.017122,0.183802,-0.009177,0.273744,-0.283358,0.282189,-0.054445,0.035188,-0.034012
0.00844599999999984,0.230126,7.838535,-7.326718,0.474785,0.037524,7.780866,-1.296985,0.155813,-0.005029,-0.023494,-0.017712,0.174153,-0.010056,0.302021,-0.313502,0.316727,-0.190468,0.14967,-0.034016
-0.413174,-0.153984,8.302574,-8.421163,0.534256,0.075308,7.841228,-1.713457,0.158449,-0.00562,-0.020436,-0.017122,0.156065,-0.013928,0.3402,-0.348527,0.164867,-0.047628,0.356663,0.068019
-0.765930999999999,-0.182984,9.039961,-9.019411,0.118734,0.037763,8.838355,-1.979216,0.159013,-0.006505,-0.016996,-0.01594,0.134644,-0.019405,0.369613,-0.365833,-0.043492,-0.102008,0.312632,0.136043
