Time,w_f_0,F_0,N1_0,N2_0,P3_0,T5_0
0.935,1.37157273035256,50.2023592844048,8359.62620195803,13840.1215079237,2201.71065925877,1187.90602867463
0.94,1.37377010411542,53.1412127169971,8404.77568588757,13875.1299644033,2227.57910739508,1189.28829480354
0.945,1.37595334564096,49.4549529659104,8401.08942613649,13871.4437046522,2223.892847644,1185.60203505245
0.95,1.37812240349972,50.679932555312,8402.31440572589,13872.6686842416,2225.1178272334,1186.82701464185
0.955,1.38027722661679,49.8126395383367,8401.44711270891,13871.8013912246,2224.25053421642,1185.95972162488
0.96,1.38241776427317,50.2229538127605,8443.01034813816,13903.4881566169,2247.15732541405,1184.99212938337
0.965,1.38454396610697,53.8491390645643,8446.63653338996,13907.1143418687,2250.78351066585,1188.61831463518
0.97,1.3866557821147,50.8947980947577,8443.68219242016,13904.1600008989,2247.82916969604,1185.66397366537
0.975,1.38875316265253,50.0949465576423,8442.88234088304,13903.3601493618,2247.02931815893,1184.86412212826
0.98,1.39083605843748,50.8022140259254,8483.80530275786,13934.6393356735,2269.83891586238,1184.34406298451
0.985,1.39290442054873,51.357525202556,8484.36061393449,13935.1946468501,2270.39422703901,1184.89937416114
0.99,1.39495820042878,52.7132074562285,8485.71629618816,13936.5503291038,2271.74990929269,1186.25505641481
0.995,1.39699734988469,51.215396056881,8484.21848478881,13935.0525177044,2270.25209789334,1184.75724501547
1,1.48092679929256,54.6174940172023,8526.99730391318,13968.3944383439,2295.39297215239,1187.05903060853
1.005,1.48306604792699,52.6702656256329,8525.05007552161,13966.4472099523,2293.44574376082,1185.11180221696
1.01,1.48519052375779,53.4590360275092,8525.83884592348,13967.2359803542,2294.23451416269,1185.90057261883
1.015,1.48730018006217,51.2942391051989,8523.67404900117,13965.0711834319,2292.06971724038,1183.73577569652
1.02,1.48939497048787,52.9573246576241,8563.8919254703,13996.0382333888,2319.00792066221,1187.28430612165
1.025,1.49147484905426,54.135426854875,8565.07002766755,13997.2163355861,2320.18602285947,1188.46240831891
1.03,1.49353977015349,52.4974924479796,8563.43209326066,13995.5784011792,2318.54808845257,1186.82447391201
1.035,1.49558968855166,52.5625499334134,8563.49715074609,13995.6434586646,2318.613145938,1186.88953139744
1.04,1.49762455938995,54.1993746979693,8605.61268613522,14028.0396722062,2345.85946871763,1189.790631422
1.045,1.4996443381857,54.2756965464328,8605.68900798368,14028.1159940547,2345.9357905661,1189.86695327047
1.05,1.50164898083357,52.4956116996782,8603.90892313693,14026.3359092079,2344.15570571934,1188.08686842371
1.055,1.50363844360661,54.6239650226185,8606.03727645987,14028.4642625308,2346.28405904228,1190.21522174665
1.06,1.50561268315739,56.8718086175617,8650.14624312095,14062.5206206944,2374.31101439864,1193.23658820506
1.065,1.50757165651903,57.4202641314792,8650.69469863487,14063.0690762083,2374.85946991256,1193.78504371897
1.07,1.50951532110632,52.6884220083248,8645.96285651171,14058.3372340852,2370.1276277894,1189.05320159582
1.075,1.51144363471677,57.242147312328,8650.51658181572,14062.8909593892,2374.68135309341,1193.60692689982
1.08,1.51335655553165,58.0432936396634,8694.12312401657,14096.220209664,2401.2992356718,1194.79848149754
1.085,1.51525404211707,56.301710595141,8692.38154097204,14094.4786266195,2399.55765262728,1193.05689845302
1.09,1.51713605342497,54.5195615596667,8690.59939193657,14092.696477584,2397.77550359181,1191.27474941754
1.095,1.5190025487942,56.6325635273153,8692.71239390422,14094.8094795516,2399.88850555946,1193.38775138519
1.1,1.5162803169516,56.630758866996,8736.10663315834,14127.7886866207,2425.63574580144,1193.48148104742
1.105,1.51810842919433,54.7180060043206,8734.19388029566,14125.8759337581,2423.72299293876,1191.56872818474
1.11,1.51992090584628,55.8627550463994,8735.33862933774,14127.0206828001,2424.86774198084,1192.71347722682
1.115,1.5217177078039,55.8357427853697,8735.31161707672,14126.9936705391,2424.84072971981,1192.68646496579
1.12,1.52349879635546,58.0987017122228,8781.2802488017,14162.4788896279,2452.47990230121,1194.66879783895
1.125,1.5252641331821,57.2579047953542,8780.43945188483,14161.638092711,2451.63910538434,1193.82800092208
1.13,1.52701368035874,55.7908755041984,8778.97242259368,14160.1710634199,2450.17207609318,1192.36097163092
1.135,1.52874740035504,58.7375417229565,8781.91908881244,14163.1177296386,2453.11874231194,1195.30763784968
1.14,1.53046525603633,59.4501015921438,8826.26761452962,14197.0050498929,2478.95270068456,1195.61259408237
1.145,1.53216721066458,57.9127832310267,8824.7302961685,14195.4677315317,2477.41538232345,1194.07527572126
1.15,1.53385322789924,58.5887075232246,8825.4062204607,14196.1436558239,2478.09130661564,1194.75120001345
1.155,1.53552327179822,58.2675914123818,8825.08510434985,14195.8225397131,2477.7701905048,1194.43008390261
1.16,1.53717730681876,58.5898686094437,8868.82387199569,14229.157806997,2502.91605975109,1194.25600302254
1.165,1.53881529781833,55.9982734941685,8866.23227688042,14226.5662118817,2500.32446463581,1191.66440790726
1.17,1.54043721005548,60.1054999731563,8870.3395033594,14230.6734383607,2504.4316911148,1195.77163438625
1.175,1.54204300919073,57.0048700719158,8867.23887345816,14227.5728084595,2501.33106121356,1192.67100448501
1.18,1.54363266128745,58.716544862336,8912.02821691248,14262.0442983853,2527.53437017887,1193.82764283169
1.185,1.54520613281266,60.1076269398444,8913.41929898999,14263.4353804628,2528.92545225638,1195.2187249092
1.19,1.54676339063791,60.8498751661511,8914.1615472163,14264.1776286891,2529.66770048269,1195.96097313551
1.195,1.54830440204008,57.0598798996712,8910.37155194982,14260.3876334226,2525.87770521621,1192.17097786903
1.2,1.34893591721882,59.1929838987379,8955.14857380178,14294.954379783,2552.14322324666,1193.71372295829
1.205,1.35012669916406,57.7309526034863,8953.68654250653,14293.4923484877,2550.6811919514,1192.25169166304
1.21,1.35130113895706,61.5450716919462,8957.50066159499,14297.3064675762,2554.49531103986,1196.0658107515
1.215,1.35245920550414,59.4563869478978,8955.41197685094,14295.2177828322,2552.40662629582,1193.97712600745
1.22,1.35360086812096,59.3110398711909,8997.56568137065,14327.2859698587,2566.06871462055,1186.83789448592
1.225,1.35472609653329,57.1876568144926,8995.44229831395,14325.162586802,2563.94533156385,1184.71451142922
1.23,1.35583486087773,58.3967504497547,8996.65139194922,14326.3716804373,2565.15442519912,1185.92360506448
1.235,1.3569271317025,59.4688836400495,8997.72352513951,14327.4438136276,2566.22655838941,1186.99573825477
1.24,1.35800287996815,62.811514259725,9036.32127120584,14357.6443374665,2582.44127819355,1188.27837391445
1.245,1.35906207704829,60.4351842243473,9033.94494117046,14355.2680074311,2580.06494815817,1185.90204387907
1.25,1.36010469473031,60.1496449046968,9033.65940185081,14354.9824681114,2579.77940883852,1185.61650455942
1.255,1.36113070521609,60.9186578157715,9034.42841476189,14355.7514810225,2580.54842174959,1186.38551747049
1.26,1.36214008112269,60.7245860408965,9065.12861342596,14378.7778775781,2591.97702889758,1184.79190178951
1.265,1.36313279548302,61.1329701814484,9065.53699756651,14379.1862617187,2592.38541303813,1185.20028593006
1.27,1.36410882174654,61.8848594216862,9066.28888680675,14379.9381509589,2593.13730227837,1185.9521751703
1.275,1.36506813377991,61.0308935888805,9065.43492097394,14379.0841851261,2592.28333644557,1185.09820933749
1.28,1.36601070586765,62.1659434704301,9093.9902352275,14400.5330760669,2603.97301938866,1185.20742476088
1.285,1.36693651271275,61.029178752267,9092.85347050934,14399.3963113487,2602.8362546705,1184.07066004272
1.29,1.36784552943737,60.4062017108103,9092.23049346789,14398.7733343072,2602.21327762904,1183.44768300126
1.295,1.36873773158339,62.7630316422209,9094.5873233993,14401.1301642387,2604.57010756045,1185.80451293267
1.3,1.5827,61.9693168408303,9118.38673369694,14418.2937819863,2613.43350081914,1184.26272825184
1.305,1.5827,60.3367971267244,9116.75421398283,14416.6612622722,2611.80098110504,1182.63020853774
1.31,1.5827,60.2688533814175,9116.68627023752,14416.5933185269,2611.73303735973,1182.56226479243
1.315,1.5827,64.193649756358,9120.61106661246,14420.5181149019,2615.65783373467,1186.48706116737
1.32,1.5827,62.4117590013659,9140.9206827975,14434.5879542534,2633.57390840996,1190.64986322434
1.325,1.5827,58.4651379606976,9136.97406175683,14430.6413332127,2629.62728736929,1186.70324218368
1.33,1.5827,61.5103289125002,9140.01925270863,14433.6865241645,2632.67247832109,1189.74843313548
1.335,1.5827,63.406668187642,9141.91559198377,14435.5828634397,2634.56881759623,1191.64477241062
1.34,1.5827,62.9286207143259,9168.41251375072,14454.6090533291,2654.96733610938,1196.40352579448
1.345,1.5827,61.4926240086888,9166.97651704509,14453.1730566234,2653.53133940374,1194.96752908885
